cnpj_nome;contribuinte_icms;consumidor_final;endereco;bairro;cidade;uf;cep
48.546.462/0001-35 - INOVAREN COMERCIAL LTDA;Não;Cons.Final;AVENIDA VISCONDE DE ALBUQUERQUE 1400;LEBLON;RIO DE JANEIRO;RJ;22450-002
48.700.902/0001-67 - RECONCAVO ENERGIA SPE S.A;Sim;Cons.Final;ESTRADA DA IMETAME SN;AREA RURAL (MONTE GORDO);CAMACARI;BA;42819-899
49.721.281/0001-60 - I. M. NAZARIO COMERCIO DE MATERIAIS;Sim;Cons.Final;RUA 31 B MORADA DO VALE 250;CALIFORNIA DA BARRA;BARRA DO PIRAI;RJ;27165-000
49.728.467/0001-41 - B L COMERCIO DE SUCATA LTDA;Não;Cons.Final;RUA LUIZ LYRIO 50;BARRA DE MACAE;MACAE;RJ;27961-070
49.958.950/0001-12 - AVODH.;Sim;Revendedor;AVENIDA ANTONIO PIRANGA 596;CENTRO;DIADEMA;SP;99111-60
49.982.513/0001-34 - VORDCAB BRASIL SERVICOS DE PERFURACAO E;Não;Cons.Final;R MARIA NECI CAMPOS MATOSO 12;BELA VISTA;MOSSORO;RN;59612-112
50.431.937/0001-90 - OIL SUPPLY LTDA;Não;Cons.Final;RUA HONOR GREGORIO SANTOS 36;GRAGERU;ARACAJU;SE;49027-130
50.692.019/0001-14 - 50.692.019 MARCIA MARILIA VIVEIROS DA SILVA SANTOS;Sim;Cons.Final;RUA ANTONIO DE MACEDO 308;SANTA RITA;MENDES;RJ;26700-000
50.981.978/0001-50 - INTREPID DO BRASIL SOCIEDADE LTDA;Sim;Cons.Final;RUA VISCONDE DE PIRAJA, 414, SALA 718;IPANEMA;RIO DE JANEIRO;RJ;22410-905
51.899.013/0001-85 - PETROWORKS DO BRASIL LTDA;Sim;Cons.Final;RUA RAIMUNDO CHAVES 2182 - SALA 501 COND EMPRESARIAL CANDELAR;CANDELARIA;MOSSORO;RN;59064-390
52.127.214/0010-18 - 3R RNCE S.A.;Sim;Cons.Final;ESTRADA MACAU A BARREIRAS 21;ZONA LITORANEA;MACAU;RN;59500-000
52.221.670/0002-12 - AZEVEDO & TRAVASSOS PETROLEO S/A;Sim;Cons.Final;SITIO SITIO RANCHO DA VELHA 2010;ZONA RURAL;MOSSORO;RN;59790-000
53.114.256/0001-96 - TUDOBOM COMERCIO DE METAIS LTDA;Não;Cons.Final;VIA DAS TORRES 646;CIA SUL;SIMOES FILHO;BA;43700-000
53.506.366/0001-01 - ALITER CONSTRUCOES E SANEAMENTO LTDA;Sim;Cons.Final;R CANTAGALO 74 - ANDAR 2 BLOCO B SALA 206;VILA GOMES CARDIM;SAO PAULO;SP;03319-900
54.093.303/0001-25 - FUNDICAO DELTA LTDA;Sim;Revendedor;AVENIDA DEPUTADO LUIZ EDUARDO MAGALHAES 2350;CENTRO;AMELIA RODRIGUES;BA;44230-000
57.937.992/0002-86 - PETRO ELITE OIL SERVICES LTDA;Sim;Cons.Final;RUA ANTONIO CONSELHEIRO, LOTE 06, QUADRA 06 S/N;POLO DE SERVICOS;DIAS D'AVILA;BA;42850-000
