AECLPKR178000123 - (REPARO DE OBTURADOR) SUPORTE ELEMENTO DE VEDACAO PCS-5 XC 47 3.1/2IN;
AECLPKR178000124 - (REPARO DE OBTURADOR) MANDRIL PCS-5 XC 47 2.7/8IN;
AECLPKR178000125 - (REPARO DE OBTURADOR) CAMISA HIDRAULICA PCS-5 XC 47 2.7/8IN;
AECLPKR178000126 - (REPARO DE OBTURADOR) ANEL TRAVA PCS-5 XC 47 2.7/8IN;
AECLPKR178000127 - (REPARO DE OBTURADOR) SUPORTE ELEMENTO DE VEDACAO PCS-5 XC 47 2.7/8IN;
AECLPKR245000008 - CAMISA DE SUPORTE 51;
AECLPKR245000017 - CAMISA DE BALANCEIO 51;
AECLPKR245000018 - CARCACA DA CAMISA DE BALANCEIO 51;
AECLPKR245000021 - RECEPTACULO 51;
AECLPKR245000063 - SELO R-3 DG 51;
AECLPKR245000064 - CORPO DA CAMISA DE SUPORTE 51;
AECLPKR245000065 - CHAVETA CAMISA DE SUPORTE 51;
AECLPKR245000066 - PINO RESTRITOR 51;
AECLR3D14045A001 - OBTURADOR DE PRODUCAO R3-DG DN 5.1/2 IN SIZE 45A4;
AECLR3D14045B001 - OBTURADOR DE PRODUCAO R3-DG DN 5.1/2 IN SIZE 45B;
AECLR3D17847B001 - PACKER R3-DG DN 7 IN SIZE 47B4;
AECLR3D17847B002 - PACKER R3-DG DN 7 IN SIZE 47B2;
AECLR3D24551A001 - OBTURADOR DE PRODUCAO R3-DG DN 9.5/8 IN SIZE 51A2;
AECLRED051089001 - NIPLE REDUCAO P COLUNA DE PRODUCAOCONEX PN 2 IN LP CONEX PN 3.1/2 IN EU;
AECLRED051102001 - NIPLE REDUCAO P COLUNA DE PROD. CONEX PN 2 IN LP CONEX PN 4 IN LP;
AECLRED074077001 - NIPLE REDUCAO P COLUNA DE PROD. CONEX PN 3 IN LP CONEX PN 2.7/8 IN EU;
AECLRED077089001 - REDUCAO CONEX PN 3 IN LP CONEX PN 3.1/2 IN EU;
AECLSBI074EUR001 - SUBSTITUTO DE IMPACTO 2.7/8 IN EU;
AECLSHO061EUR001 - SUB DE PRESSURIZACAO SHEAR OUT SUB 2.3/8 IN EU P.R 550 PSI/PARAF;
AECLSHO074EUR001 - SUB DE PRESSURIZACAO SHEAR OUT SUB 2.7/8 IN EU P.R 600 PSI/PARAF;
AECLSHO074EUR002 - SUB DE PRESSURIZACAO SHEAR OUT SUB 2.7/8 IN EU P.R 350 PSI/PARAF;
AECLSHO074EUR003 - SUB DE PRESSURIZACAO SHEAR OUT SUB 2.7/8 IN EU P.R 540 PSI/PARAF;
AECLSHO077000001 - SEDE SHEAR OUT - SHEAR OUT 3.1/2 EU;
AECLSHO115EUR001 - SUB DE PRESSURIZACAO SHEAR OUT SUB 4.1/2 IN EU P.R 645 PSI/PARAF;
AECLSUB115347001 - SUB CROSSOVER CONEX CX 4.1/2 IN IF X 13.3/8 IN BC L 783,42 MM;
AECLSUP074EUR001 - SUB DE PRESSURIZACAO TIPO PUMP-OUT 2.7/8 IN EU X 2.7/8 IN EU;
AECLSUP074EUR002 - SUB DE PRESSURIZACAO TIPO JANELA 2.7/8 IN EU X 2.7/8 IN EU;
AECLTEX140NF1001 - KIT. DE REPARO CONECTOR TEXPROIL NF-1 DN 5.1/2 FABRICANTE PERPEC;
AECLTHC074045001 - BOMBA DE FUNDO THC 20-175 2.3/8 IN EU ID 1.3/4 IN X 10 IN X 4 IN;
AECLTMP061EUR001 - TAMPAO CRUZETA CONEX 2.3/8 IN EU;
AECLTMP074EUR001 - TAMPAO CRUZETA CONEX 2.7/8 IN EU;
AECLTMP077LPT001 - TAMPAO C ORELHAS 3 IN LP;
AECLTMP089EUR001 - LUVA TAMPONADA CONEX 3.1/2 IN EU;
AECPANC07445B001 - ANCORADOR DE COLUNA 45BA-A CONEX INF-SUP 2.7/8 IN EU X 2.7/8 IN EU;
AECPANC08947B001 - ANCORADOR DE COLUNA 47BA X 3,0 CONEX INF-SUP 3.1/2 IN EU X 3.1/2 IN EU;
AECPBTS061074001 - BIT SUB CONEX CX 2.3/8 IN IF X CONEX CX 2.7/8 IN REG;
AECPBTS089089001 - BIT SUB CONEX CX 3.1/2 IN REG X CONEX CX 3.1/2 IN IF OD 4.3/4 IN ID 2 IN L 700 OMBRO A OMBRO;
AECPBTS115115001 - BIT SUB CONEX CX 4.1/2 IN REG X CONEX CX 4.1/2 IN IF OD 6 IN ID 2.1/4 IN L 20 IN;
AECPBTS115115002 - BIT SUB CONEX CX 4.1/2 IN REG X CONEX CX 4.1/2 IN IF OD 6.3/4 IN ID 2.1/4 IN L 700 OMBRO A OMBRO;
AECPBTS115115003 - BIT SUB CONEX CX 4.1/2 IN REG X CONEX CX 4.1/2 IN IF OD 6.29/32 IN L 750 MM;
AECPBTS169169001 - BIT SUB CONEX CX 6.5/8 IN REG X CONEX CX 6.5/8 IN REG. OD 8 IN ID 2.13/16 IN L 700 OMBRO A OMBRO;
AECPBTS169194001 - BIT SUB CONEX CX 7.5/8 IN REG X CONEX CX 6.5/8 IN REG. OD 9.1/2 IN ID 3 IN L 700 OMBRO A OMBRO;
AECPBTS194194001 - BIT SUB CONEX CX 7.5/8 IN REG X CONEX CX 7.5/8 IN REG. OD 9.1/2 IN ID 3 IN L 700 OMBRO A OMBRO;
AECPCIR115IFT001 - CABECA DE CIRCULACAO 4.1/2 IN IF PINO X 2 IN WECO FIG 1502 1.3/4 IN;
AECPCIR178BTC001 - CABECA DE CIRCULACAO 7 IN BC PINO 2 IN WECO FIG 1502 50,5 L 315.1/2 MM;
AECPCIR178BTC002 - CABECA DE CIRCULACAO 7 IN BC 2 IN WECO FIG 1502 1.3/4 IN;
AECPCIR194BTC001 - CABECA DE CIRCULACAO 9.5/8 IN BC PINO 2 IN WECO FIG 1502 50,5 L 315.1/2 MM;
AECPCIR245BTC001 - CABECA DE CIRCULACAO 9.5/8 IN BC 2 IN WECO FIG 1502 1.3/4 IN;
AECPCIR340BTC001 - CABECA DE CIRCULACAO 13.3/8 IN BC 2 IN WECO FIG 1502 1.3/4 IN;
AECPCRO061074001 - SUB CROSSOVER CONEX PN 2.3/8 IN IF X CONEX PN 2.7/8 IN IF OD 4.1/8 IN ID 1.3/4 IN L 400 MM;
AECPCRO061074002 - SUB CROSSOVER CONEX PN 2.3/8 IN EU X CONEX PN 2.7/8 IN IF OD 4.1/8 IN ID 1,995 IN L 400 MM;
AECPCRO061074003 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 2.3/8 IN IF OD 4.1/8 IN ID 1.1/2 IN L 20 IN;
AECPCRO061074004 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 3.1/2 IN IF OD 4.3/4 IN ID 2 IN L 20 IN;
AECPCRO061074005 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 2.3/8 IN EU OD 4.1/8 IN ID 2 IN L 400 MM;
AECPCRO061074006 - SUB CROSSOVER CONEX PN 2.3/8 IN IF X CONEX PN 2.7/8 IN EU PINO;
AECPCRO061074007 - REDUÇAO CONEX CX 2.7/8 IN IF X CONEX PN  2.3/8 IN IF OD 4.1/8 IN ID 38,1MM L 473MM;
AECPCRO061074008 - REDUÇAO CONEX PN 2.7/8 IN IF X CONEX CX  2.3/8 IN IF OD 4.1/8 IN ID 38,1MM L 486MM;
AECPCRO061074009 - SUB CROSSOVER CONEX PN 2 3/8IN EU X CONEX CX 2 7/8IN IF;
AECPCRO061074010 - SUB CROSSOVER CONEX PN 2.3/8 IN IF X CONEX CX 2.7/8 IN EU;
AECPCRO074074001 - SUB CROSSOVER CONEX CX 2.7/8 IN REG X CONEX PN 2.7/8 IN EU OD 3.3/4 IN ID 1.3/8 IN L 350 MM;
AECPCRO074074002 - SUB CROSSOVER CONEX PN 2.7/8 IN REG X CONEX PN 2.7/8 IN EU OD 3.3/4 IN ID 1.3/8 IN L 350 MM;
AECPCRO074074003 - SUB CROSSOVER CONEX PN 2.7/8 IN REG X CONEX PN 2.7/8 IN IF OD ID L;
AECPCRO074074004 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 2.7/8 IN NU OD 4.1/8 IN ID 2 IN L 20 IN;
AECPCRO074074005 - SUB CROSSOVER CONEX CX 2.3/8 IN IF X CONEX PN 2.7/8 IN IF OD 4.1/8 IN ID 1.1/2 IN L 400 MM;
"AECPCRO074074006 - SUB DE PERFURACAO TIPO DRILL PIPE DN 2.7/8IN; CAIXA - PINO 2 7/8 IN IF (NC31),GRAU G, RANGE 2, INSPECIONADO COND DS-1";
AECPCRO074074007 - SUB CROSSOVER CONEX PN 2 7/8IN EU X CONEX CX 2 7/8IN IF;
AECPCRO074089001 - SUB CROSSOVER CONEX PN 3.1/2 IN IF X CONEX PN 2.7/8 IN EU OD 5 IN ID 2,441 IN L 400 MM;
AECPCRO074089002 - SUB CROSSOVER CONEX PN 3.1/2 IN REG X CONEX PN 2.7/8 IN EU OD 4.1/4 IN ID 1.3/4 IN L 350 MM;
AECPCRO074089003 - SUB CROSSOVER CONEX CX 3.1/2 IN IF X CONEX PN 2.7/8 IN IF OD 4.1/8 IN ID 2 IN L 20 IN;
AECPCRO074089004 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 3.1/2 IN NU OD 4.1/8 IN ID 2 IN L 20 IN;
AECPCRO074089005 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 3.1/2 IN EU OD 4.3/8 IN ID 2 IN L 20 IN;
AECPCRO074089006 - SUB CROSSOVER CONEX CX 2.7/8 IN IF X CONEX PN 3.1/2 IN EU OD 4.3/4 IN ID 1.1/4 IN L 20 IN;
AECPCRO074089007 - SUB CROSSOVER CONEX CX 3.1/2 IN REG X CONEX CX 2.7/8 IN IF OD L 400 MM;
AECPCRO074089008 - REDUÇAO CONEX CX 3.1/2 IN IF X CONEX PN  2.7/8 IN IF OD 4.3/4 IN ID 45,5MM L 486MM;
AECPCRO074089009 - REDUÇAO CONEX PN 3.1/2 IN IF X CONEX CX  2.7/8 IN IF OD 4.3/4 IN ID 50,8MM L 498MM;
AECPCRO074089010 - SUB CROSSOVER CONEX PN 2 7/8IN EU X CONEX CX 3 1/2IN IF;
AECPCRO074115001 - SUB CROSSOVER CONEX PN 2.7/8 IN EU X CONEX CX 4.1/2 IN IF;
AECPCRO077089001 - SUB CROSSOVER CONEX PN 3.1/2 IN NU X 3 IN LP OD 88,9 MM ID 76,2 MM L 300 MM;
AECPCRO089089001 - SUB CROSSOVER CONEX PN 3 1/2IN EU X CONEX CX 3 1/2IN IF;
AECPCRO089102001 - SUB CROSSOVER CONEX PN 3.1/2IN IF X CONEX CX 4IN IF  X L 1200MM;
AECPCRO089102002 - SUB CROSSOVER 3.1/2 IN IF CX X 4 IN FH PINO;
AECPCRO089102003 - SUB CROSSOVER 3.1/2 IN IF CX X 4 IN FH PINO 600 MM FACE-TO-FACE;
AECPCRO089102004 - SUB CROSSOVER 3.1/2 IN IF PINO X 4 IN FH CX 600 MM FACE-TO-FACE;
AECPCRO089108001 - SUB CROSSOVER CONEX CX 3.1/2 IN REG X CONEX PN 2.7/8 IN EU OD 4.1/4 IN ID 1.3/4 IN L 350 MM;
AECPCRO089115001 - SUB CROSSOVER CONEX PN 4.1/2 IN IF X CONEX CX 3.1/2 IN IF OD 6.3/4 IN ID 2.1/4 IN L 20 IN;
AECPCRO089115002 - SUB CROSSOVER CONEX PN 3.1/2 IN IF X CONEX CX 4.1/2 IN IF OD 6.3/4 IN ID 2.1/4 IN L 20 IN;
AECPCRO089115003 - SUB CROSSOVER CONEX CX 3.1/2 IN IF BRORE BACK X CONEX PN 4.1/2 IN IF STRESS RELIEF OD 6.7/8 IN ID 2.1/4 IN L 28 IN;
AECPCRO089115004 - SUB CROSSOVER CONEX PN 3.1/2 IN IF STRESS RELIEF X CONEX CX 4.1/2 IN IF BORE BACK X OD 6.7/8 IN ID 2.1/4 IN L 698,4 MM;
AECPCRO089115005 - REDUÇAO CONEX PN 4.1/2 IN IF X CONEX CX  3.1/2 IN IF OD 6.3/4 IN ID 57,15MM L 511MM;
AECPCRO089115006 - REDUÇAO CONEX CX 4.1/2 IN IF X CONEX PN  3.1/2 IN IF OD 6.5/8 IN ID 50,8MM L 498MM;
AECPCRO089115009 - SUB CROSSOVER CONEX PN 3.1/2 IN IF X CONEX CX 4.1/2 IN;
AECPCRO089115010 - SUB CROSSOVER CONEX PN 4.1/2 IN IF X CONEX PN 3.1/2 IN IF OD 6.3/4 IN ID 2.1/4 IN C STRESS-RELIEF FACE-TO-FACE 600 MM;
AECPCRO089115012 - SUB CROSSOVER CONEX PN 3.1/2IN EU X CONEX CX 4.1/2IN IF;
AECPCRO102102001 - SUB CROSSOVER CONEX PN 4 IN IF X CONEX CX 4 IN IF OD 6.1/2 IN ID 2.13/16 IN L 20 IN;
AECPCRO102115001 - SUB CROSSOVER CONEX PN 4 IN IF X CONEX CX 4.1/2 IN IF OD 6.3/4 IN ID 2.1/4 IN L 20 IN;
AECPCRO115115001 - SUB CROSSOVER CONEX PN 4.1/2 IN IF X CONEX CX 4.1/2 IN XH OD 6.3/4 IN ID 2.1/4 IN L 20 IN;
AECPCRO115115002 - SUB CROSSOVER CONEX CX 4.1/2 IN IF X CONEX CX 4.1/2 IN REG;
AECPCRO115115003 - SUB CROSSOVER CONEX PN 4.1/2 IN IF X CONEX PN 4.1/2 IN REG;
AECPCRO115115005 - SUB CROSSOVER CONEX PN 4.1/2IN EU X CONEX CX 4.1/2IN IF;
AECPCRO115115006 - SUB CROSSOVER CONEX PN 4.1/2IN IF C/ STRESS RELIEF X CONEX CX 4.1/2IN EU X ID 3.1/8 IN;
AECPCRO115115007 - SUB CROSSOVER CONEX PN 4.1/2 IN EU X CONEX CX 4.1/2IN IF C/ BOREBACK X ID 3.1/8 IN;
AECPCRO115169001 - SUB CROSSOVER CONEX PN 6.5/8 IN REG X CONEX CX 4.1/2 IN IF OD 8 IN ID 2.13/16 IN L 20 IN;
AECPCRO115169002 - SUB CROSSOVER CONEX CX 6.5/8 IN REG X CONEX CX 4.1/2 IN IF OD 7.1/2 IN ID 71,4 MM L 920 MM;
AECPCRO115169003 - SUB CROSSOVER CONEX PN 6.5/8 IN REG STRESS RELIEF X CONEX CX 4.1/2 IN IF BORE BACK X OD 8.1/8 IN ID 71,4 MM X L 723,8 MM;
AECPCRO115178001 - SUB CROSSOVER CONEX PN 7 IN BC X 4.1/2 IN NPT 7 IN ID 4.1/8 IN L 815 MM;
AECPCRO169194001 - SUB CROSSOVER CONEX PN 7.5/8 IN REG X CONEX CX 6.5/8 IN REG. OD 9 IN ID 3 IN L 20 IN;
AECPCRO169194002 - SUB CROSSOVER CONEX PN 6.5/8 IN REG STRESS RELIEF X CONEX PN 7.5/8 IN REG STRESS RELIEF X OD 9.1/2 IN X L 1000MM;
AECPCRO169194004 - SUB CROSSOVER CONEX CX 6.5/8 IN REG BOREBACK X CONEX CX 7.5/8 IN REG BOREBACK X OD 9.9/16IN X L 1220MM;
AECPCRO169194005 - SUB CROSSOVER CONEX CX 7.5/8IN REG C/ BOREBACK X CONEX PN 6.5/8IN REG C/ STRESS RELIEF;
AECPCRO194194001 - SUB CROSSOVER CONEX PN 7.5/8 IN REG STRESS RELIEF X CONEX PN 7.5/8 IN REG STRESS RELIEF X OD 9.1/2 IN X L 1000MM;
AECPLFS061IFT001 - LIFT SUB CONEX PN 2.3/8 IN IF X OMBRO 3.3/8 IN;
AECPLFS061IFT002 - LIFT SUB CONEX 2.3/8 IN IF X OMBRO 3.1/2 IN;
AECPLFS061IFT003 - LIFT SUB CONEX PN 2.3/8 IN IF X OMBRO 4.1/4 IN;
AECPLFS074IFT001 - LIFT SUB CONEX PN 2.7/8 IN IF X OMBRO 4.3/4 IN;
AECPLFS074IFT002 - LIFT SUB CONEX 2.7/8 IN IF X OMBRO 5 IN;
AECPLFS089IFT001 - LIFT SUB CONEX PN 3.1/2 IN IF X OMBRO 4.3/4 IN ID 2 IN;
AECPLFS089IFT002 - LIFT SUB CONEX 3.1/2 IN IF X OMBRO 5 IN;
AECPLFS089IFT003 - LIFT SUB CONEX 3.1/2 IN REG X OMBRO 5 IN OD 4.3/4 IN X L 914,4 MM;
AECPLFS102IFT001 - LIFT SUB CONEX PN 4 IN IF X OMBRO 6.1/2 IN ID 2.13/16 IN;
AECPLFS115IFT001 - LIFT SUB CONEX PN 4.1/2 IN IF X OMBRO 6.1/2 IN ID 3.3/4 IN;
AECPLFS115IFT002 - LIFT SUB CONEX 4.1/2 IN REG X OMBRO 6.1/2 IN OD 6.3/4 IN X L 914,4 MM;
